iter	Passed	Remaining
1284	28777	1097
1285	28803	1075
1286	28830	1052
1287	28851	1030
1288	28871	1007
1289	28892	985
1290	28914	963
1291	28936	940
1292	28958	918
1293	28980	895
1294	29003	873
1295	29022	850
1296	29043	828
1297	29063	806
1298	29083	783
1299	29105	761
1300	29130	738
1301	29151	716
1302	29172	694
1303	29195	671
1304	29215	649
1305	29233	626
1306	29253	604
1307	29273	581
1308	29291	559
1309	29312	537
1310	29335	514
1311	29356	492
1312	29377	469
1313	29401	447
1314	29421	425
1315	29439	402
1316	29459	380
1317	29477	357
1318	29495	335
1319	29515	313
1320	29536	290
1321	29558	268
1322	29591	246
1323	29616	223
1324	29641	201
1325	29665	178
1326	29684	156
1327	29702	134
1328	29720	111
1329	29742	89
1330	29763	67
1331	29786	44
1332	29808	22
1333	29828	0
